"Url","Status","TitleLen","DescLen","Robots","H1","Canonical","Issues"
"https://dropolis.net/news/i-alvania-katigorei-to-iran-oti-pyrodotise-topikes-diamartyries-enanti-12534/","200","60","120","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","1","https://dropolis.net/news/i-alvania-katigorei-to-iran-oti-pyrodotise-topikes-diamartyries-enanti-12534/",""
"https://dropolis.net/news/o-tramp-perimenei-pliri-katapaysi-toy-pyros-se-ola-ta-metopa-symperila-12446/","200","60","126","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","1","https://dropolis.net/news/o-tramp-perimenei-pliri-katapaysi-toy-pyros-se-ola-ta-metopa-symperila-12446/",""
"https://dropolis.net/news/michalis-oikonomoy-o-logos-poy-ekferetai-sychna-apo-anthropoys-tis-ekk-12445/","200","60","142","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","1","https://dropolis.net/news/michalis-oikonomoy-o-logos-poy-ekferetai-sychna-apo-anthropoys-tis-ekk-12445/",""
"https://dropolis.net/news/den-diapistothikan-provlimata-statikotitas-sti-gefyra-malgaron-kleidio-12444/","200","60","155","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","1","https://dropolis.net/news/den-diapistothikan-provlimata-statikotitas-sti-gefyra-malgaron-kleidio-12444/",""
"https://dropolis.net/news/oi-diadiloseis-kata-tis-kyvernisis-mpainoyn-sti-18i-imera-sta-tirana-a-12401/","200","60","155","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","1","https://dropolis.net/news/oi-diadiloseis-kata-tis-kyvernisis-mpainoyn-sti-18i-imera-sta-tirana-a-12401/",""
"https://dropolis.net/news/i-nea-presveytis-tis-elvetias-ka-ruth-huber-epididei-ta-diapisteytiria-12397/","200","60","155","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","1","https://dropolis.net/news/i-nea-presveytis-tis-elvetias-ka-ruth-huber-epididei-ta-diapisteytiria-12397/",""
"https://dropolis.net/news/me-elegchomeni-ekrixi-katastrepsan-treis-palioys-kadoforoys-eskafeis-t-12317/","200","60","125","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","1","https://dropolis.net/news/me-elegchomeni-ekrixi-katastrepsan-treis-palioys-kadoforoys-eskafeis-t-12317/",""
"https://dropolis.net/news/synagermos-sto-moyntial-2026-anthropokynigito-tis-astynomias-gia-ton-e-12266/","200","60","155","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","1","https://dropolis.net/news/synagermos-sto-moyntial-2026-anthropokynigito-tis-astynomias-gia-ton-e-12266/",""
"https://dropolis.net/news/o-antiproedros-ton-ipa-epikrinei-ton-paniko-toy-israil-gia-ti-symfonia-12201/","200","60","155","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","1","https://dropolis.net/news/o-antiproedros-ton-ipa-epikrinei-ton-paniko-toy-israil-gia-ti-symfonia-12201/",""
"https://dropolis.net/news/entopismos-kai-diasosi-59-metanaston-notia-ton-kalon-limenon-12200/","200","60","155","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","1","https://dropolis.net/news/entopismos-kai-diasosi-59-metanaston-notia-ton-kalon-limenon-12200/",""
"https://dropolis.net/news/nea-tropi-stis-mazikes-kinitopoiiseis-sta-tirana-oi-diadilotes-perikyk-12165/","200","60","146","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","1","https://dropolis.net/news/nea-tropi-stis-mazikes-kinitopoiiseis-sta-tirana-oi-diadilotes-perikyk-12165/",""
"https://dropolis.net/news/o-alvanos-prothypoyrgos-katigorei-to-iran-gia-diadiloseis-enantia-sto--12147/","200","60","155","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","1","https://dropolis.net/news/o-alvanos-prothypoyrgos-katigorei-to-iran-gia-diadiloseis-enantia-sto--12147/",""
"https://dropolis.net/news/ipa-irthi-o-naytikos-apokleismos-sta-limania-toy-iran-meta-ti-symfonia-12073/","200","60","154","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","1","https://dropolis.net/news/ipa-irthi-o-naytikos-apokleismos-sta-limania-toy-iran-meta-ti-symfonia-12073/",""
"https://dropolis.net/news/anna-eythymioy-oles-oi-allages-sta-tameia-epaggelmatikis-asfalisis-kam-12017/","200","60","134","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","1","https://dropolis.net/news/anna-eythymioy-oles-oi-allages-sta-tameia-epaggelmatikis-asfalisis-kam-12017/",""
"https://dropolis.net/news/me-ton-zelenski-synantithike-stis-vryxelles-o-kyriakos-mitsotakis-11957/","200","60","155","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","1","https://dropolis.net/news/me-ton-zelenski-synantithike-stis-vryxelles-o-kyriakos-mitsotakis-11957/",""
"https://dropolis.net/news/antidraseis-sto-irakleio-gia-tin-egkatastasi-domis-prosorinis-kratisis-11956/","200","60","155","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","1","https://dropolis.net/news/antidraseis-sto-irakleio-gia-tin-egkatastasi-domis-prosorinis-kratisis-11956/",""
"https://dropolis.net/news/polonia-pethane-i-katka-i-giraioteri-elefantina-stin-eyropi-11882/","200","60","155","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","1","https://dropolis.net/news/polonia-pethane-i-katka-i-giraioteri-elefantina-stin-eyropi-11882/",""
"https://dropolis.net/news/episkepsi-tsimari-se-domes-protovathmias-ygeias-11881/","200","60","155","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","1","https://dropolis.net/news/episkepsi-tsimari-se-domes-protovathmias-ygeias-11881/",""
"https://dropolis.net/news/italia-nekro-11chrono-agori-poy-ekane-podilato-parasyrthike-apo-aporri-11880/","200","60","155","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","1","https://dropolis.net/news/italia-nekro-11chrono-agori-poy-ekane-podilato-parasyrthike-apo-aporri-11880/",""
